truth,mh-auto,otter,yt-auto,yt-manl,zoom-cc,zoom-tr
even,even,even,even,even,even,even
hyphen,hyphen,hyphen,,hyphen,,hyphen
roughen,ruffin,ruffin,ruffle,roughen,,ruffin
nephew,nephew,nephew,nephew,nephew,,nephew
stephen,stephen,stephen,stephen,stephen,stephen,stephen
monkey,monkey,monkey,monkey,monkey,monkey,monkey
donkey,donkey,donkey,donkey,donkey,donkey,donkey
clerk,turk,clark,clark,clerk,clark,clark
and,and,and,and,and,and,and
jerk,jerk,jerk,jerk,jerk,jerk,jerk
asp,ask,asp,asked,asp,asp,asp
grasp,grasp,grasp,grasp,grasp,grasp,grasp
wasp,wasp,wasp,wasp,wasp,wasp,wasp
and,and,and,and,and,and,and
cork,,cork,,cork,cork,cork
and,,and,and,and,and,and
work,,work,work,work,work,work
pronunciation,pronunciation,pronunciation,pronunciation,pronunciation,pronunciation,pronunciation
think,think,think,think,think,think,think
of,of,of,of,of,of,of
psyche,psyche,psyche,psyche,psyche,psyche,psyche
is,is,is,is,is,is,is
a,a,a,a,a,a,a
paling,paling,paling,paling,paling,paling,paling
stout,stout,stout,stout,stout,,stout
and,and,and,and,and,,and
spikey,spiky,spiky,spiky,spikey,spiky,spiky
won't,won't,won't,won't,won't,won't,won't
it,it,it,it,it,it,it
make,make,make,make,make,make,make
you,you,you,you,you,you,you
lose,lose,lose,lose,lose,lose,lose
your,your,your,your,your,your,your
wits,wits,wits,wits,wits,wits,wits
writing,writing,writing,writing,writing,writing,writing
groats,growths,growths,growths,groats,,groats
and,and,and,and,and,and,and
saying,saying,saying,saying,saying,saying,saying
groats,grits,grits,grits,groats,grits,grits
it's,it's,it's,it's,it's,it's,it's
a,a,a,a,a,a,a
dark,dark,dark,dark,dark,dark,dark
abyss,abyss,abyss,abyss,abyss,abyss,abyss
or,or,or,or,or,or,or
tunnel,tunnel,tunnel,tunnel,tunnel,tunnel,tunnel
strewn,strewn,strewn,strewn,strewn,tune,strewn
with,with,with,with,with,with,with
stones,stones,stones,stones,stones,stones,stones
like,,like,like,like,like,like
,stowed,,,,,
,solace,,,,,
rowlock,,roller,rollo,rowlock,roller,rollach
gunwale,gunnell,gunnel,gunnel,gunwale,gunnell,gunnel
islington,islington,islington,islington,islington,islington,islington
and,and,an,and,and,and,and
isle,isle,isle,isle,isle,isle,isle
of,of,of,of,of,of,of
wight,wight,wight,wight,wight,wight,wight
housewife,usif,has,has,housewife,has,has
,,if,if,,a,
verdict,verdict,verdict,verdict,verdict,verdict,verdict
and,and,and,and,and,and,and
indict,indict,indict,indict,indict,indict,indict
don't,,don't,don't,don't,don't,don't
you,,you,you,you,you,you
think,,think,think,think,think,think
so,,so,so,so,so,so
reader,,reader,reader,reader,reader,reader
rather,,rather,rather,rather,,rather
saying,,saying,saying,saying,saying,saying
lather,,leather,leather,lather,leather,leather
bather,,bather,bather,bather,father,bather
father,,farther,father,father,,father
finally,finally,finally,finally,finally,finally,finally
which,which,which,which,which,which,which
rimes,rhymes,rhymes,shrines,rimes,shrines,rhymes
with,with,with,with,with,with,with
enough,enough,enough,enough,enough,enough,enough
though,though,though,though,though,though,though
through,through,through,through,through,through,through
plough,plough,plow,plough,plough,plow,plow
cough,or,cough,cough,cough,cough,cough
hough,dough,hock,hawk,hough,,hock
or,or,or,or,or,or,or
,cough,,,,,
tough,,tuff,tough,tough,tuff,tuff
hiccough,hiccup,pick,pick,hiccough,pick,pickup
,,up,up,,up,
has,has,as,as,has,as,as
the,the,the,the,the,the,the
sound,sound,sound,sound,sound,sound,sound
of,of,of,of,of,of,of
cup,cup,cup,cup,cup,cup,cup
my,my,my,my,my,my,my
advice,advice,advice,advice,advice,advice,advice
is,is,is,is,is,is,is
,to,,,,,
give,give,give,give,give,give,give
it,,it,it,it,it,it
up,up,up,up,up,up,up
